Country.of.Origin,Number.of.Bags,Farm.Name,Bag.Weight,Lot.Number,In.Country.Partner,Mill,Harvest.Year,ICO.Number,Grading.Date,Company,Owner,Altitude,Variety,Region,Status,Producer,Processing.Method,Aroma,Uniformity,Flavor,Clean.Cup,Aftertaste,Sweetness,Acidity,Overall,Body,Defects,Balance,Total.Cup.Points,Moisture,Color,Category.One.Defects,Category.Two.Defects,Quakers,Expiration,Certification.Body,Certification.Address,Certification.Contact
Taiwan,3,嵩岳咖啡莊園,60 kg,202004,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),嵩岳咖啡莊園,2020,,"September 1st, 2020",tcl 台灣咖啡研究室,郭亮志 guoliangzhi,1200,Gesha,雲林-石壁,Completed,郭亮志,Natural / Dry,8.58,10.00,8.67,10.00,8.17,10.00,8.25,8.50,8.50,0.00,8.58,89.25,11 %,None ,0 full defects,0 full defects,0,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Kenya,320,n/a,69 kg,1542247,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),tylor winch,2019,037-1673-5107,"October 30th, 2020",nestle nespresso sa,alexis rodriguez,1650,SL28,n/a,Completed,Tylor Winch Volcafe,Washed / Wet,8.33,10.00,8.50,10.00,8.25,10.00,8.67,8.58,8.42,0.00,8.42,89.17,11 %,Green ,0 full defects,1 full defects,0,"October 30th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Ethiopia,37,honey drip,20 kg,1,Japan Coffee Exchange ,non,2020,,"July 14th, 2020",宸嶧國際有限公司,blossom valley international,2219,Ethiopian Heirlooms,ethiopia,Completed,Honey Dip,Other,8.25,10.00,8.25,10.00,7.92,10.00,8.42,8.33,7.92,0.00,8.08,87.17,11 %,Green ,0 full defects,4 full defects,3,"July 14th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Colombia,1,granja el sauce,20 kg,001 Tostado SW ,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),dry mill/ honey process,2019,,"September 4th, 2020",tostado sw limited,fernando,1650,Other,santander colombia,Completed,Alvaro Edgar Ramirez Jauregui,Pulped natural / honey,8.33,10.00,8.08,10.00,7.75,10.00,8.33,8.25,8.17,0.00,8.17,87.08,11 %,None ,0 full defects,0 full defects,0,"September 4th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Ethiopia,100,kata muduga,60 kg,1,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),kata muduga farmers ,2020,,"September 1st, 2020",haia gmbh,dr. marcel lorenz,15002100,Other,limu,Completed,Kata Muduga Farmers Union,Washed / Wet,8.00,10.00,8.33,10.00,8.17,10.00,8.00,8.25,8.00,0.00,8.17,86.92,11 %,Green ,0 full defects,0 full defects,0,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Taiwan,100,zhou wu mountain,1 kg,1,Japan Coffee Exchange ,zhou wu mountain,2020,,"January 29th, 2021",宸嶧國際有限公司,hsu ting yey許定燁,1200,Gesha,zhou wu mountain,Completed,Zhou Wu Mountain,Natural / Dry,8.25,10.00,8.25,10.00,7.92,10.00,8.33,8.17,7.92,0.00,8.00,86.83,11.5 %,greenish ,0 full defects,0 full defects,1,"January 29th, 2022",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Ethiopia,200,non,30 kg,1,Japan Coffee Exchange ,non,2020,E0205,"July 14th, 2020",宸嶧國際有限公司,blossom valley international,2100,Other,ethiopia sidamo guji uraga adola,Completed,non,Washed / Wet,8.25,10.00,8.17,10.00,7.92,10.00,8.17,8.25,7.83,0.00,8.00,86.58,12 %,Green ,0 full defects,3 full defects,1,"July 14th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Ethiopia,250,solomon worku,60 kg,8.33,METAD Agricultural Development plc,solomon worku coffee processing ,2020,010/0115/0037,"March 18th, 2021",sms plc,solomon worku,1950,Ethiopian Yirgacheffe,addis ababa,Completed,SOLOMON WORKU COFFEE PROCESSING ,Washed / Wet,8.00,10.00,8.17,10.00,8.00,10.00,8.25,8.08,7.92,0.00,8.08,86.50,10.5 %,Blue-Green ,0 full defects,1 full defects,0,"March 18th, 2022",METAD Agricultural Development plc," BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) -  +251-116-292534, +251-911-519196"
Ethiopia,320,firemariyam hambela wamena deri,60 kg,10.6,METAD Agricultural Development plc,firemariyam dry mill site,2020,010/0218/0090,"March 18th, 2021",tadesse desta import & export,tadessa desta amene,2200,Ethiopian Heirlooms,south,Completed,Firemariyam Dinku,Natural / Dry,8.00,10.00,8.08,10.00,8.00,10.00,8.08,8.08,8.08,0.00,8.08,86.42,10 %,Yellow Green  ,0 full defects,5 full defects,6,"March 18th, 2022",METAD Agricultural Development plc," BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) -  +251-116-292534, +251-911-519196"
Ethiopia,300,local farm,60 kg,14,METAD Agricultural Development plc,hulling,2019,010/0240/0002,"June 29th, 2020",al-impex business plc,al-impex business plc,2000,Ethiopian Yirgacheffe,dila,Completed,Alemayehue Gume,Washed / Wet,8.00,10.00,8.00,10.00,8.00,10.00,8.08,8.17,8.00,0.00,8.00,86.25,10 %,Blue-Green ,0 full defects,0 full defects,0,"June 29th, 2021",METAD Agricultural Development plc," BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) -  +251-116-292534, +251-911-519196"
